id,Rename,XD_cluster,ZD_cluster,YD_cluster,ED_cluster,superfamily
Acetobacter,B12,1,2,3,6,Bacteria
Acinetobacter,B13,1,5,6,6,Bacteria
Anaerosalibacter,B14,1,1,5,2,Bacteria
Bacillaceae_2,B15,1,1,5,2,Bacteria
Bacillus,B5,3,6,3,3,Bacteria
bacterium_ZQ18-1,B8,1,3,2,7,Bacteria
Brachybacterium,B16,1,7,6,4,Bacteria
Brevibacterium,B17,1,7,5,2,Bacteria
Clostridium_sensu_stricto,B18,1,7,5,4,Bacteria
Corynebacterium,B19,1,7,5,4,Bacteria
Cronobacter,B20,1,2,6,4,Bacteria
Enterobacteriaceae,B21,1,2,6,2,Bacteria
Enterococcus,B22,1,7,6,4,Bacteria
Klebsiella,B23,1,5,6,4,Bacteria
Kocuria,B24,1,2,6,4,Bacteria
Kroppenstedtia,B9,1,3,2,7,Bacteria
Lactobacillus,B2,2,4,2,2,Bacteria
Lactococcus,B25,1,5,6,4,Bacteria
Nocardiopsis,B26,1,7,6,4,Bacteria
Oceanobacillus,B3,3,6,3,3,Bacteria
Pantoea,B27,1,7,5,6,Bacteria
Pediococcus,B1,4,6,5,2,Bacteria
Pelomonas,B28,1,7,6,1,Bacteria
Pseudomonas,B29,1,1,6,4,Bacteria
Rhodococcus,B30,1,7,6,1,Bacteria
Saccharomonospora,B10,1,2,6,4,Bacteria
Saccharopolyspora,B31,1,3,2,2,Bacteria
Staphylococcus,B6,6,3,2,2,Bacteria
Streptomyces,B32,1,2,6,4,Bacteria
Thermoactinomyces,B33,1,7,5,2,Bacteria
Thermoactinomycetaceae_1,B7,6,8,3,3,Bacteria
uncultured_bacterium,B11,1,3,2,7,Bacteria
uncultured_compost_bacterium,B34,1,7,5,6,Bacteria
uncultured_Lactobacillus_sp.,B35,5,2,4,5,Bacteria
uncultured_Virgibacillus_sp.,B4,3,6,3,3,Bacteria
Weissella,B36,4,1,6,2,Bacteria
Yaniella,B37,1,2,6,4,Bacteria
Aspergillaceae,F11,1,2,2,5,Fungi
Aspergillus,F4,5,3,3,5,Fungi
Blumeria,F12,1,5,6,6,Fungi
Candida,F13,5,5,5,1,Fungi
Cyberlindnera,F14,3,7,2,1,Fungi
Debaryomyces,F15,5,5,2,6,Fungi
Diutina,F16,5,5,5,4,Fungi
Geosmithia,F17,1,5,6,4,Fungi
Hyphopichia,F5,5,1,2,6,Fungi
Issatchenkia,F1,4,8,3,5,Fungi
Leiothecium,F18,Complete Missing,7,2,2,Fungi
Lichtheimia,F19,1,2,2,6,Fungi
Lodderomyces,F20,6,5,5,1,Fungi
Microascus,F21,1,5,5,6,Fungi
Millerozyma,F8,5,7,3,6,Fungi
Monascus,F6,5,1,3,6,Fungi
Mucor,F22,1,2,5,4,Fungi
Naganishia,F23,1,5,5,4,Fungi
Ogataea,F24,5,5,6,Complete Missing,Fungi
Paecilomyces,F7,5,7,2,5,Fungi
Penicillium,F25,1,2,5,6,Fungi
Pichia,F26,1,5,3,6,Fungi
Rasamsonia,F27,1,2,5,6,Fungi
Rhizomucor,F28,1,5,5,6,Fungi
Rhizopus,F29,1,5,2,4,Fungi
Saccharomyces,F30,2,8,2,6,Fungi
Saccharomycetales,F31,2,8,5,4,Fungi
Saccharomycopsis,F3,5,3,3,5,Fungi
Schizosaccharomyces,F32,1,2,2,5,Fungi
Schwanniomyces,F33,5,5,6,1,Fungi
Scopulariopsis,F34,1,5,2,6,Fungi
Starmerella,F35,1,5,6,4,Fungi
Talaromyces,F36,1,5,6,4,Fungi
Thermoascus,F37,1,2,2,5,Fungi
Thermomyces,F9,5,7,2,5,Fungi
Trichomonascus,F38,1,2,2,6,Fungi
Trichosporon,F39,5,5,6,4,Fungi
Wickerhamomyces,F2,5,7,2,6,Fungi
Zygosaccharomyces,F10,5,2,1,8,Fungi
